id,first_author,year,title,em_category_code,em_category,ai_category_code,ai_category,ai_technique,is_review,core_claim,results,limitations,source_file
120,Akinsolu et al.,,Machine Learning-assisted Antenna Design Optimization: A Review and the State-of-the-art,F1,Antennas and antenna arrays,2,Classical machine learning,"Review of GP/kriging surrogate models, SADEA (surrogate-assisted differential evolution), space mapping, multi-fidelity kriging",True,"A review article summarizes the current state of machine-learning-assisted antenna optimization methods (surrogate-based optimization), focusing on their efficiency and optimization capability for single-objective, multi-objective, multi-fidelity, and yield-driven tasks.","This is a review with no original experiments; from the cited literature, the authors report that the SADEA family of algorithms (surrogate model-assisted differential evolution) achieves a 3- to 20-fold speedup over standard global optimization methods.","Not stated explicitly as a limitation of the work itself (this is a review); the authors merely recommend, for future use, methods suited to high-dimensional spaces without requiring an initial design as generally the most robust.",old/141 - Machine Learning-assisted Antenna Design optimization A Review and the State-of-the-art.pdf
97,Dong et al.,2019,Fast Multi-Objective Optimization of Multi-Parameter Antenna Structures Based on Improved BPNN Surrogate Model,F1,Antennas and antenna arrays,1,Neural networks and deep learning,SC-BPNN surrogate model tuned by hybrid real-binary PSO (HPSO),False,"The authors propose a sparsely connected backpropagation neural network (SC-BPNN) as a surrogate model, whose structure and weights are tuned by a hybrid real-binary PSO (HPSO), and combine it with a multi-objective evolutionary algorithm for fast optimization of multiple antenna parameters.",The proposed SC-BPNN+HPSO surrogate model achieves higher accuracy in predicting antenna behavior and significantly lower computational cost (CPU time) than earlier approaches; demonstrated on the Pareto-optimal design of a compact tri-band planar monopole antenna.,"The authors state that the computational cost of the proposed method is slightly higher than that of a simpler comparison method (scheme II), even though the prediction accuracy is significantly higher.",old/120 - Fast Multi-Objective Optimization of Multi-Parameter Antenna Structures Based on Improved BPNN Surrogate Model.pdf
112,El Misilmani et al.,2019,Machine Learning in Antenna Design: An Overview on Machine Learning Concept and Algorithms,F1,Antennas and antenna arrays,2,Classical machine learning,"Review of ML algorithms (regression, ANN, SVM, KNN, k-means); example: SADEA (GPR + differential evolution)",True,"A review article presents the fundamental concepts of machine learning (supervised, unsupervised, and reinforcement learning) and their algorithms, focusing mainly on their use in antenna design, including a comparison with conventional design methods.","No original quantitative results; as an example from the literature, it cites the SADEA method (Gaussian process regression + differential evolution), which accelerated the design and optimization of three antennas by more than 4× compared to differential evolution alone.","In the conclusion, the authors identify general challenges of ML in antenna design: selecting a suitable algorithm, problem formulation, obtaining a sufficient amount of training data (requiring many EM simulations), and data preprocessing.",old/134 - Machine Learning in Antenna Design An Overview on Machine Learning Concept and Algorithms.pdf
321,Grout et al.,2019,"Software Solutions for Antenna Design Exploration: A Comparison of Packages, Tools, Techniques, and Algorithms for Various Design Challenges",F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,"Comparison of SADEA (surrogate-assisted DE) with PSO, DE, CMA-ES, TRF, N-M, SQP, IQN, PS",False,"The article compares 17 optimization methods (in six categories) implemented in antenna design tools (HFSS, CST, FEKO, MATLAB, ADE) on three representative design problems.","SADEA achieves the highest quality of results with the fewest EM simulations across all three test problems; CMA-ES, PSO, and DE are less efficient despite comparable global search capability.","The performance of the PS, SQP, TRF, N-M, and IQN methods strongly depends on the quality of the initial design; the authors note that the conclusions are based on three selected problems and may not fully generalize to all antenna problems.","old/44 - Software Solutions for Antenna Design Exploration A Comparison of Packages, Tools, Techniques, and Algorithms for Various Design Challenges.pdf"
110,Koziel et al.,2019,Performance-Based Nested Surrogate Modeling of Antenna Input Characteristics,F1,Antennas and antenna arrays,2,Classical machine learning,Two-level (nested) kriging surrogate model,False,"The authors propose a two-level (nested) kriging surrogate model for antenna input characteristics, in which the first level defines the domain of the second (final) level of the model, enabling modeling over wide ranges of geometric parameters and performance quantities.","Demonstrated on two microstrip antennas, with a favorable comparison against conventional kriging and RBF interpolation; experimental validation on fabricated prototypes showed good agreement between simulated and measured reflection characteristics, with minor frequency shifts.",The authors state that the minor differences (frequency shifts) between simulation and measurement are caused by the fact that SMA connectors were not included in the antenna's computational model.,old/132 - Performance-Based Nested Surrogate Modeling of Antenna Input Characteristics.pdf
344,Vincent et al.,2019,An Analysis of Metaheuristic Algorithms Used for the Recovery of a Failed Antenna Element in an Antenna Array,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,"Comparison of metaheuristics: Firefly, Bat, Flower Pollination, Cuckoo Search, Harmony Search, Simulated Annealing, Gradient Descent",False,"This work compares seven metaheuristic algorithms (gradient descent, simulated annealing, firefly, bat, flower pollination, cuckoo search, harmony search) for recovering the weight of a failed element in the antenna array of a GB-SAR system.","Of all the tested methods, the firefly algorithm achieves the best results in finding the weight of a failed main element in a 2x6 array (a specific numerical error/accuracy value is not given in the available excerpt).",Not stated explicitly: the study is limited to a specific 2x6 array geometry and a single-element failure scenario; generalization to multiple failures or other array configurations is not discussed in the text.,old/65 - An Analysis of Metaheuristic Algorithms Used for the Recovery of a Failed Antenna Element in an Antenna Array.pdf
207,Alzahed et al.,2020,Electromagnetic Machine Learning for Inverse Modeling Using the Spatial Singularity Expansion Method,F1,Antennas and antenna arrays,3,Generative and inverse models,Spatial Singularity Expansion Method (S-SEM) + ML inverse source model,False,"The authors propose a unified EM-ML approach combining the spatial singularity expansion method (S-SEM) with machine learning for inverse modeling and characterization of antennas, enabling reconstruction of current distribution and geometric parameters of radiators from far-field data.","The method successfully reconstructed the parameters (length, orientation) of straight and bent wire antennas and their fields; validation on a fabricated half-wave dipole antenna (1 GHz) in an anechoic chamber showed good agreement between the estimated S-SEM parameters and orientation and measurement, with some deviation in the wire length estimate.","The authors state that the deviation in wire length reconstruction is caused by the fact that the exact formula was derived for an ideal thin-wire radiation model, which may not fully hold for the fabricated probe; increasing the S-SEM order improves reconstruction but significantly slows convergence.",old/219 - Electromagnetic Machine Learning for Inverse Modeling Using the Spatial Singularity Expansion Method.pdf
101,Cui et al.,2020,A Modified Efficient KNN Method for Antenna Optimization and Design,F1,Antennas and antenna arrays,2,Classical machine learning,Modified KNN regression with self-learning (active) training-data augmentation,False,"The authors propose a modified KNN regression method with a self-learning loop that generates additional training data on its own during antenna optimization using a simulator (HFSS), thereby requiring only a very small initial dataset.","The method is 5–30× faster than traditional ML methods (ANN, Bayesian optimization); for a three-parameter antenna, only 8 training samples are needed, and for a nine-parameter model, 30 samples; validated on four different antenna examples.","The authors state that future work should focus on multi-objective optimization, since the number of training samples required grows with the number of objectives and parameters.",old/124 - A Modified Efficient KNN Method for Antenna Optimization and Design.pdf
95,El Misilmani et al.,2020,A review on the design and optimization of antennas using machine learning algorithms and techniques,F1,Antennas and antenna arrays,2,Classical machine learning,"Review of regression ML models (SVR, GPR, ANN, etc.) for antenna design and optimization",True,"A comprehensive literature review describing the use of machine learning in antenna design and optimization, including an overview of computational electromagnetics, learning categories, and regression ML models applied to antenna synthesis and analysis.","No original quantitative results; this is an extensive review (28 pages) organized by antenna type, summarizing dozens of works using ANN, SVR, GPR, and other regression ML models to predict antenna characteristics.","Not stated explicitly: the authors generally mention that the success of ML approaches strongly depends on the quality, quantity, and availability of training data, which must be obtained through simulations because standardized antenna datasets are lacking.",old/119 - A review on the design and optimization of antennas using machine learning algorithms and techniques.pdf
127,Maeurer et al.,2020,Antenna Design Exploration and Optimization using Machine Learning,F1,Antennas and antenna arrays,1,Neural networks and deep learning,RBF neural network (surrogate regression) + PCA (dimensionality reduction) + genetic algorithm/MOGA (evolutionary learning),False,"The authors show how combining design-space exploration (DoE) with machine learning techniques (RBF neural networks, PCA, evolutionary learning) can substantially accelerate the process of antenna performance analysis and optimization, on three examples with different design- and response-space dimensions.","For the blade antenna (p=4, n=4), the RBF regression model reduced the evaluation time from 90 s (simulation) to 20 ms (speedup of approx. 45,000×) with R² up to 0.9999 and median relative error of 0.03–5.3%; for the LTE dual antenna, the ML approach reduced the total optimization time to under 15 hours compared to 40.4 hours for classical optimization; evolutionary learning for a WLAN antenna with 112 binary variables reached, after approx. 4300 simulations, a solution with S11 < −10 dB in both bands (2.44 and 5.2 GHz).","The authors state that for high-dimensional discrete design spaces (2^122 combinations for the WLAN antenna), building regression models is computationally very demanding due to the discreteness and strong nonlinearity of the mapping, which is why evolutionary learning must be used instead of classical regression.",old/148 - Antenna Design Exploration and Optimization using Machine Learning.pdf
