id,first_author,year,title,emc_category_code,emc_category,ai_category_code,ai_category,ai_technique,is_review,core_claim,results,limitations,source_file
285,Sidi Salah et al.,2020,Simulation and Optimization of Electromagnetic Absorption of Polycarbonate/CNT Composites Using Machine Learning,A,Shielding and EMC materials,1,Neural networks and deep learning,MLP (15 specialized networks with automatic selection),False,"A system of 15 specialized MLP networks with automatic selection of the appropriate network can predict the electromagnetic absorption index of polycarbonate/CNT composite films for EMI shielding, thereby replacing S-parameter measurements in the design of absorbing materials.",Average prediction accuracy of 99.80% with an average computation time of 0.013 s per sample; the PC composite with 5 wt.% CNT was evaluated as the best absorber in the microwave band according to the Rozanov formalism.,"Not stated explicitly: the system is tied to specific PC/CNT sample categories from the authors' own database, and generalizability to other material systems or wider composition ranges has not been verified.",old/29 - Simulation and Optimization of Electromagnetic Absorption of PolycarbonateCNT Composites Using Machine Learning.pdf
226,Ayub et al.,2021,Preparation Methods for Graphene Metal and Polymer Based Composites for EMI Shielding Materials: State of the Art Review of the Conventional and Machine Learning Methods,A,Shielding and EMC materials,1,Neural networks and deep learning,"Review of ML methods (mainly ANN, hybrid/ensemble models) for modeling EMI shielding composites",True,"A review study surveys preparation methods for graphene, metal, and polymer composites for EMI shielding and identifies a gap in the use of AI/ML methods in this field, noting that machine learning methods (especially artificial neural networks) have significantly improved EMI material modeling in recent years.","The alternating deposition method provides the highest shielding effectiveness (SE) for graphene and metal composites, while for polymer composites the highest SE is achieved by chemical vapor deposition (CVD); a trend toward hybrid and ensemble ML methods for achieving higher modeling performance is identified.","Not stated explicitly: this is a review article without its own experiment; the authors themselves report, as a finding, a shortage of publications combining AI/ML with the design of EMI shielding materials.",old/236 - Preparation Methods for Graphene Metal and Polymer Based Composites for EMI Shielding Materials State of the Art Review of the Conventional and Machine Learning Methods.pdf
320,Bora et al.,2021,Electromagnetic Data-Driven Approach to Realize the Best Microwave Absorption Characteristics of MXene-Based Nanocomposites,A,Shielding and EMC materials,2,Classical machine learning,Data-driven regression model (RL prediction),False,"The authors propose an electromagnetic data-driven approach that, based on a limited amount of experimental data for various weight fractions of PANI-Ti3C2Tx MXene in PVB, predicts reflection loss (RL) characteristics for any composition within the range of 0.2-59.9 wt.%.","The model predicted an optimal composition of 23.5 wt.% PANI-Ti3C2Tx MXene with RL = -59.5 dB in the X band (8.2-12.4 GHz) at a thickness of 1.5 mm, and the prediction was confirmed experimentally.",Not stated explicitly: the model is based on a small number of experimental samples and validated for only one material system (PVB-PANI-MXene); general transferability to other composites has not been demonstrated.,old/43 - Electromagnetic Data-Driven Approach to Realize the Best Microwave Absorption Characteristics of MXene-Based Nanocomposites.pdf
242,Guan et al.,2021,Data mining and design of electromagnetic properties of Co/FeSi filled coatings based on genetic algorithms optimized artificial neural networks (GA-ANN),A,Shielding and EMC materials,1,Neural networks and deep learning,Genetic algorithm-optimized artificial neural network (GA-ANN),False,"The authors developed a predictive model based on a genetic algorithm-optimized artificial neural network (GA-ANN) for data mining and prediction of the electromagnetic properties of coatings filled with Co/FeSi particles at an arbitrary ratio and combination of absorbers, and subsequently used the GA to design a composition for broadband absorption.","The GA-ANN model exhibited lower error and higher accuracy than a conventional ANN; the optimized coating with a thickness of 2.06 mm containing 13.5 wt% Co and 55.6 wt% FeSi achieved an effective absorption bandwidth (RL below -10 dB) of 9.3 GHz, which agreed with experimental verification.",Not stated explicitly: the available text of the conclusion does not include a discussion of limitations; this presumably concerns the model's limitation to the studied type of absorbers (Co/FeSi) and the range of thicknesses/filling ratios used during training.,old/250 - Data mining and design of electromagnetic properties of CoFeSi filled coatings based on genetic algorithms optimized artificial neural networks (GA-ANN).pdf
336,Shi et al.,2022,Machine Learning to Optimize Nanocomposite Materials for Electromagnetic Interference Shielding,A,Shielding and EMC materials,2,Classical machine learning,Weighted-average ensemble of 5 ML models + partial dependence/ICE analysis,False,A machine learning model (a weighted-average ensemble of five base models) can rapidly predict the shielding effectiveness (EMI SE) of carbon nanocomposites from material and structural properties and reveal key design factors.,"The resulting prediction model achieved a coefficient of determination R2 = 0.82; conductive particle filling, thickness, porosity, and number of layers were identified as the most significant factors affecting shielding effectiveness.","Not stated explicitly: the model is built on a dataset compiled from published literature, whose heterogeneity and limited range of material types may limit the general transferability of the results.",old/58 - Machine learning to optimize nanocomposite materials for electromagnetic interference shielding.pdf
47,Chaudhary et al.,2023,Machine Learning Empowered Magnetic Substrate Coupled Broadband and Miniaturized Frequency Selective Surface,A,Shielding and EMC materials,3,Generative and inverse models,Deep neural network (DNN) for inverse modeling of shielding-structure parameters,False,"The authors propose an FSS combined with magnetic substrates (ferrite, magnetic silicone rubber) for broadband, miniaturized EMI shielding, and use deep neural networks for the inverse design of the structure's parameters.","An MSE of 2.92×10⁻⁸ was achieved between the expected and predicted output; the entire X-band is shielded with a minimum SE of 10 dB and a peak SE of 56 dB at resonance (simulation), with a measured peak SE of 33 dB at 10.3 GHz; the unit-cell size is only 0.21λ × 0.21λ; angular stability up to 75°.","Not stated explicitly: a slight deviation between measured and simulated results, attributed to manufacturing and measurement inaccuracies; the DNN was trained only on data from a specific structure topology.",Machine_Learning_Empowered_Magnetic_Substrate_Coupled_Broadband_and_Miniaturized_Frequency_Selective_Surface.pdf
372,Choupanzadeh et al.,2023,A Deep Neural Network Modeling Methodology for Efficient EMC Assessment of Shielding Enclosures Using MECA-Generated RCS Training Data,A,Shielding and EMC materials,1,Neural networks and deep learning,"Deep neural network (DNN) with hyperparameter optimization (number of layers/neurons, activation, optimizer)",False,"The authors develop a deep neural network (DNN) methodology for predicting the radar cross section (RCS) of a shielding enclosure as a function of aperture attributes (shape, size, spacing, number), in order to efficiently evaluate the EMC performance of shielding enclosures without the need for costly full-wave simulations.","Based on approximately 55,000 experiments generated by the MECA method, many DNN architectures were trained and compared; the optimal DNN model showed excellent agreement with MECA predictions for previously unseen configurations at significantly lower computational cost (time and memory) than traditional numerical methods.","The authors state that future work should explore DNNs for apertures with non-uniform shapes and sizes, inverse (backward) prediction of parameters, and the susceptibility of electronics inside the enclosure to external interference sources.",old/90 - A Deep Neural Network Modeling Methodology for Efficient EMC Assessment of Shielding Enclosures Using MECA-Generated RCS Training Data.pdf
176,Jain et al.,2023,Machine Learning Techniques for Predicting Metamaterial Microwave Absorption Performance: A Comparison,A,Shielding and EMC materials,2,Classical machine learning,"Extra Trees regressor (compared against random forest, XGBoost, LightGBM, CatBoost, gradient boosting)",False,"The authors compare several machine learning regression techniques for predictive modeling and design optimization of a metamaterial microwave absorber (MMA) operating in the X and Ku bands, as an alternative to time-consuming EM simulations.","Among the compared regressors (decision tree, kNN, random forest, extra trees, bagging, LightGBM, XGBoost, histogram gradient boosting, CatBoost, gradient boosting), the Extra Trees regressor achieved the best results according to the adjusted R², MSE, RMSE, and MAE metrics; the proposed MMA achieves absorption of 99.42%, 98.48%, 98.92%, and 99.34% at 9.948, 13.26, 14.92, and 15.80 GHz.",Not stated explicitly: specific limitations are not given in the available text; the model's transferability is presumably limited beyond the training frequency range (X/Ku band) and the tested absorber geometry.,old/192 - Machine Learning Techniques for Predicting Metamaterial Microwave Absorption Performance A Comparison.pdf
238,Liu et al.,2023,Performance Optimization Engineering of Multicomponent Absorbing Materials Based on Machine Learning,A,Shielding and EMC materials,2,Classical machine learning,Machine learning (regression model) combined with the extended Maxwell-Garnett model for formulation screening,False,"The authors propose a closed loop combining machine learning, an extended Maxwell-Garnett model, electromagnetic calculations, and experimental feedback for the rapid design of multi-component microwave absorbing materials within a practically infinite design parameter space, from very sparse data.","The designed NiF and NMC materials met the required absorption characteristics in the X and Ku bands at thicknesses of only 2.0 and 1.78 mm; the targets for the S band, C band, and the entire 2.0-18.0 GHz range were also achieved as expected.","Not stated explicitly: the available text does not include a separate limitations section; this presumably concerns the dependence of model accuracy on the quality of the extended Maxwell-Garnett model, and limited transferability to material systems beyond the studied Ni/Fe@CF composites.",old/247 - Performance Optimization Engineering of Multicomponent Absorbing Materials Based on Machine Learning.pdf
334,Xu et al.,2023,Efficient EMI Analysis and Self-Shielding Design Method for Pin Map of System-in-Package,A,Shielding and EMC materials,4,Reinforcement learning,VBGT (generalized T-matrix) + Deep Q-Network (deep reinforcement learning),False,Combining the analytical virtual boundary generalized T-matrix (VBGT) method with deep reinforcement learning (DQN) enables automatic design of GND pin placement to suppress EMI leakage radiation from solder ball connections in system-in-package packages.,"The VBGT method achieves a computation error below 3 dB compared to commercial software, with the computation time shortened a hundredfold; the VBGT-DRL algorithm with an online interaction module efficiently optimizes pin placement for various real configurations without requiring retraining for each new geometry.",Not stated explicitly: validation is performed on a limited number of real pin-map scenarios; the robustness of the approach for very dense or substantially different package topologies is not discussed in the text.,old/56 - Efficient EMI Analysis and Self-Shielding Design Method for Pin Map of System-in-Package.pdf
